6200,7100,8200,9500,11000
6000,7200,8600,10300,12300
5700,6500,7400,8500,9800
8500,10200,12240,14688,17626
5000,5500,6100,6700,7400
9000,11000,13500,16500,20000
9500,11400,13680,16416,19699
5500,6300,7200,8200,9300
8500,10200,12240,14688,17626
7500,8500,9600,10800,12200
6500,7300,8200,9200,10300
8500,10200,12240,14688,17625
5000,5500,6100,6800,7600
7500,8500,9800,11300,13000
9500,11400,13700,16400,19700
7000,7900,8900,10000,11300
5000,5600,6400,7300,8300
8200,9100,10500,12000,13800
8500,10200,12240,14688,17625
8500,10000,12000,14500,17500
8800,10560,12672,15206,18247
7000,7900,8900,10100,11450
7500,9000,10800,12960,15552
8500,10200,12240,14700,17640
8500,10500,13000,16000,19500
6000,7200,8600,10300,12300
5400,6300,7400,8600,10000
6200,7100,8200,9400,10800
5800,6700,7700,8800,10000
5500,6250,7100,8050,9100
5000,6000,7200,8640,10368
6500,7200,8000,8800,9600
7000,8000,9500,11500,14000
6500,7200,8000,8900,9900
7600,8200,8900,9700,10500
7500,9000,10800,12960,15552
7400,8200,9100,10100,11200
7800,9800,12200,15200,18900
7500,8400,9400,10500,11700
7500,9000,10800,12960,15552
6500,7200,8000,8900,9900
8500,10200,12240,14688,17625
8500,10200,12240,14688,17626
8000,9500,11500,13800,16500
7800,8900,10200,11650,13200
8500,10200,12240,14700,17640
7300,8500,9800,11300,13000
8000,9600,11520,13824,16589
6200,7100,8200,9500,11000
5500,6200,7000,8000,9200
5200,5900,6700,7600,8600
6500,7200,8000,8800,9600
6200,7100,8200,9500,11100
6100,6900,7800,8800,9900
5500,6600,7900,9500,11400
6500,7200,8000,8800,9600
7500,9000,10800,12960,15552
7500,8500,9500,11000,12500
6500,7200,8000,8800,9600
6200,7100,8100,9300,10600
6800,7900,9200,10700,12400
6800,7900,9200,10700,12400
5700,6500,7400,8400,9500
6200,7100,8200,9500,11000
6800,7900,9200,10700,12400
8500,10200,12240,14688,17626
9000,11000,13500,16000,19000
8600,9400,10250,11200,12300
9500,10800,12350,14000,15850
8900,10000,11300,12800,14500
9500,11000,12800,14800,17000
9500,10800,12350,14000,15850
9500,11400,13680,16416,19699
9500,11400,13680,16416,19699
9000,10500,12000,14000,16000
8500,9800,11300,13000,15000
8500,10200,12240,14688,17626
8700,9600,10600,11700,12900
9500,11400,13680,16416,19699
9000,11000,13500,16000,19000
8500,10200,12200,14500,17100
8500,10200,12200,14500,17100
9500,12000,15000,18500,22500
7500,8500,9500,11000,12500
7200,8300,9600,11100,12800
8500,9200,10000,11000,12100
8000,9500,11200,13000,15000
7400,8200,9100,10100,11200
8500,10200,12240,14688,17625
6500,7300,8200,9200,10300
6000,7200,8600,10300,12300
6100,6900,7800,8800,9900
6500,7200,8000,8900,9900
6100,6900,7800,8800,9900
6000,7200,8600,10300,12300
7500,9000,10800,12960,15552
7500,8400,9500,10700,12000
6200,7100,8200,9500,11000
6500,7200,8000,8800,9600
6500,7300,8200,9200,10300
