Name,Gender,Department,Age,Low_Value_Tasks,High_Value_Tasks,Performance,Leadership_Tasks
1,S,Sales,24,2,4,A,3
2,S,Marketing,24,1,3,B,2
3,S,Marketing,24,2,3,B,2
4,S,Engineering,24,1,4,A,3
5,S,IT Support,24,3,2,C,1
6,S,Data Science,24,1,5,A,4
7,S,Software Engineering,24,1,4,A,3
8,S,Operations,24,2,3,B,3
9,S,Business Intelligence,24,1,4,A,3
10,S,Product Management,24,1,4,A,4
11,S,Quality Assurance,24,3,3,B,2
12,S,Research & Development,24,1,5,S,4
13,S,Customer Success,24,2,3,B,2
14,S,Infrastructure,24,2,3,B,2
15,S,Cloud Engineering,24,1,4,A,3
16,S,Systems Administration,24,2,3,B,2
17,S,Technical Support,24,3,2,C,1
18,S,DevOps,24,1,4,A,3
19,S,Frontend Development,24,1,4,A,3
20,S,Backend Development,24,1,4,A,3
21,S,Mobile Development,24,1,4,A,3
22,S,UX Design,24,1,4,A,3
23,S,UI Design,24,1,4,A,3
24,S,Database Administration,24,2,3,B,2
25,S,Network Security,24,1,4,A,3
26,S,Logistics,24,2,3,B,2
27,S,Facilities Management,24,3,2,C,1
28,S,Supply Chain,24,2,3,B,2
29,S,Procurement,24,2,3,B,2
30,S,Inventory Management,24,3,2,C,1
31,S,Office Administration,24,3,2,C,1
32,S,Asset Management,24,2,3,B,2
33,S,Finance,24,1,4,A,3
34,S,Accounting,24,2,3,B,2
35,S,Legal,24,1,4,A,4
36,S,Compliance,24,2,3,B,2
37,S,Risk Management,24,1,4,A,3
38,S,Internal Audit,24,2,3,B,2
39,S,Treasury,24,2,3,B,2
40,S,Tax,24,2,3,B,2
41,S,Business Development,24,1,4,S,4
42,S,Strategic Planning,24,1,5,S,5
43,S,Corporate Development,24,1,4,A,4
44,S,Project Management,24,1,4,A,4
45,S,Program Management,24,1,4,A,4
46,S,Portfolio Management,24,1,4,A,4
47,S,Change Management,24,1,4,A,3
48,S,Innovation,24,1,5,S,4
49,S,Digital Marketing,24,2,3,B,2
50,S,Content Marketing,24,2,3,B,2
51,S,Social Media,24,2,3,B,2
52,S,Brand Management,24,1,4,A,3
53,S,Public Relations,24,1,4,A,3
54,S,Corporate Communications,24,1,4,A,3
55,S,Events Management,24,2,3,B,2
56,S,Market Research,24,1,4,A,3
57,S,Competitive Analysis,24,1,4,A,3
58,S,Customer Intelligence,24,1,4,A,3
59,S,Product Marketing,24,1,4,A,3
60,S,Partner Marketing,24,2,3,B,2
61,S,Growth Marketing,24,1,4,A,3
62,S,Performance Marketing,24,1,4,A,3
63,S,Email Marketing,24,2,3,B,2
64,S,SEO Optimization,24,2,3,B,2
65,S,SEM Management,24,2,3,B,2
66,S,Analytics Engineering,24,1,4,A,3
67,S,Data Engineering,24,1,4,A,3
68,S,Machine Learning,24,1,5,S,4
69,S,AI Development,24,1,5,S,4
70,S,Blockchain Development,24,1,4,A,3
71,S,Cloud Architecture,24,1,4,A,4
72,S,Systems Architecture,24,1,4,A,4
73,S,Network Architecture,24,1,4,A,4
74,S,Security Architecture,24,1,4,A,4
75,S,Information Security,24,1,4,A,3
76,S,Application Security,24,1,4,A,3
77,S,Security Operations,24,1,4,A,3
78,S,Cyber Security,24,1,4,A,3
79,S,Security Engineering,24,1,4,A,3
80,S,Penetration Testing,24,1,4,A,3
81,S,Security Analysis,24,1,4,A,3
82,S,Incident Response,24,1,4,A,3
83,S,Threat Intelligence,24,1,4,A,3
84,S,Risk Assessment,24,1,4,A,3
85,S,Compliance Audit,24,2,3,B,2
86,S,Security Architecture,24,1,4,A,3
87,S,Identity Management,24,2,3,B,2
88,S,Access Management,24,2,3,B,2
89,S,Security Governance,24,1,4,A,3
90,S,Security Training,24,2,3,B,2
91,S,Documentation,24,3,2,C,1
92,S,Technical Writing,24,2,3,B,2
93,S,Knowledge Management,24,2,3,B,2
94,S,Learning Development,24,2,3,B,2
95,S,Training Coordination,24,2,3,B,2
96,S,Organizational Development,24,1,4,A,4
97,S,Talent Management,24,1,4,A,4
98,S,Recruitment,24,2,3,B,2
99,S,Talent Acquisition,24,2,3,B,2
100,S,Employee Relations,24,2,3,B,2
